sample_number,position,token_id,token,predicted_class_index,predicted_class_name,output_class_index,output_class_name,signed_shap,abs_shap,is_predicted_class
75,7,1357,uranium,1,global,2,money,-0.04125082492828369,0.04125082492828369,False
75,7,1357,uranium,1,global,3,tekno,0.03934064880013466,0.03934064880013466,False
75,8,8,iran,1,global,0,bola,-0.15567325055599213,0.15567325055599213,False
75,8,8,iran,1,global,1,global,0.24244165420532227,0.24244165420532227,True
75,8,8,iran,1,global,2,money,-0.048048362135887146,0.048048362135887146,False
75,8,8,iran,1,global,3,tekno,-0.03590937703847885,0.03590937703847885,False
75,9,2,[SEP],1,global,0,bola,-0.22095449268817902,0.22095449268817902,False
75,9,2,[SEP],1,global,1,global,0.10491752624511719,0.10491752624511719,True
75,9,2,[SEP],1,global,2,money,0.07686442136764526,0.07686442136764526,False
75,9,2,[SEP],1,global,3,tekno,0.036644771695137024,0.036644771695137024,False
75,10,63,presiden,1,global,0,bola,-0.23883056640625,0.23883056640625,False
75,10,63,presiden,1,global,1,global,0.22236976027488708,0.22236976027488708,True
75,10,63,presiden,1,global,2,money,0.02718760073184967,0.02718760073184967,False
75,10,63,presiden,1,global,3,tekno,-0.006266228388994932,0.006266228388994932,False
75,11,182,rusia,1,global,0,bola,-0.04429781064391136,0.04429781064391136,False
75,11,182,rusia,1,global,1,global,0.11204103380441666,0.11204103380441666,True
75,11,182,rusia,1,global,2,money,-0.04718145728111267,0.04718145728111267,False
75,11,182,rusia,1,global,3,tekno,-0.021977024152874947,0.021977024152874947,False
75,12,2547,vladimir,1,global,0,bola,-0.30171141028404236,0.30171141028404236,False
75,12,2547,vladimir,1,global,1,global,0.208609476685524,0.208609476685524,True
75,12,2547,vladimir,1,global,2,money,0.007504171691834927,0.007504171691834927,False
75,12,2547,vladimir,1,global,3,tekno,0.08790025115013123,0.08790025115013123,False
75,13,977,putin,1,global,0,bola,-0.12776966392993927,0.12776966392993927,False
75,13,977,putin,1,global,1,global,0.16010348498821259,0.16010348498821259,True
75,13,977,putin,1,global,2,money,-0.04464936628937721,0.04464936628937721,False
75,13,977,putin,1,global,3,tekno,0.011290120892226696,0.011290120892226696,False
75,14,1103,menawarkan,1,global,0,bola,-0.057811617851257324,0.057811617851257324,False
75,14,1103,menawarkan,1,global,1,global,-0.01879245415329933,0.01879245415329933,True
75,14,1103,menawarkan,1,global,2,money,0.0038802267517894506,0.0038802267517894506,False
75,14,1103,menawarkan,1,global,3,tekno,0.07522373646497726,0.07522373646497726,False
75,15,10,untuk,1,global,0,bola,-0.20877686142921448,0.20877686142921448,False
75,15,10,untuk,1,global,1,global,0.04201659932732582,0.04201659932732582,True
