rank,token_id,token,total_abs_shap,mean_abs_shap,total_abs_predicted_class_shap,mean_abs_predicted_class_shap,mean_signed_predicted_class_shap,occurrence_count,normalized_global_importance
138,433,vivo,0.38911357522010803,0.12970452507336935,0.4441891312599182,0.14806304375330606,0.017471839984258015,3,0.0013878258441110405
139,636,kirim,0.3877681568264961,0.09694203920662403,0.5286364555358887,0.13215911388397217,0.045443907380104065,4,0.0013830272286509122
140,58,persen,0.38657375797629356,0.09664343949407339,0.6808121521025896,0.1702030380256474,0.1555689866654575,4,0.001378767244682093
141,1546,long,0.384621798992157,0.384621798992157,0.49624502658843994,0.49624502658843994,-0.49624502658843994,1,0.0013718053207160707
142,140,pertama,0.38354654610157013,0.07670930922031402,0.5654268488287926,0.11308536976575852,-0.055287064611911775,5,0.0013679702868196887
143,57,menjadi,0.3822782263159752,0.0955695565789938,0.49636607617139816,0.12409151904284954,-0.07784661464393139,4,0.0013634466539033856
144,1003,transaksi,0.3822486773133278,0.1911243386566639,0.4414692521095276,0.2207346260547638,-0.10662788152694702,2,0.0013633412634154836
145,423,2027,0.3772893827408552,0.07545787654817104,0.4636111194267869,0.09272222388535738,0.03937917333096266,5,0.0013456532730328715
146,131,bikin,0.372213751077652,0.186106875538826,0.32047098875045776,0.16023549437522888,0.16023549437522888,2,0.0013275503507860773
147,1234,meninggal,0.3714786246418953,0.07429572492837906,0.19257543422281742,0.038515086844563486,0.020546556264162064,5,0.0013249284235874303
148,235,membuat,0.37074707262218,0.18537353631109,0.41677336394786835,0.20838668197393417,-0.1643039658665657,2,0.001322319245023824
149,169,selama,0.3705318346619606,0.12351061155398686,0.42636947333812714,0.1421231577793757,-0.09449519217014313,3,0.0013215515699211056
150,89,pekan,0.36705155670642853,0.06117525945107142,0.5546876175212674,0.09244793625354457,0.026105325950387243,6,0.0013091386910112778
151,104,fitur,0.36641261726617813,0.12213753908872604,0.6563709378242493,0.2187903126080831,0.08540021379788716,3,0.001306859827654995
152,317,siapkan,0.363839965313673,0.09095999132841825,0.30828962475061417,0.07707240618765354,0.02329428680241108,4,0.0012976841188261019
153,321,strategi,0.36116326227784157,0.09029081556946039,0.5373945906758308,0.1343486476689577,0.0696230698376894,4,0.0012881372978290804
154,3301,terkendali,0.3600424528121948,0.3600424528121948,0.44030407071113586,0.44030407071113586,-0.44030407071113586,1,0.0012841397802871419
155,46,4,0.35795042011886835,0.08948760502971709,0.4283987545641139,0.10709968864102848,-0.09896963366190903,4,0.0012766782646181462
156,200,miliar,0.3578357845544815,0.11927859485149384,0.38429933227598667,0.12809977742532888,-0.07149132279058297,3,0.0012762694014762724
157,5698,pensiunan,0.3575110137462616,0.1787555068731308,0.25231852009892464,0.12615926004946232,-0.06586832366883755,2,0.0012751110627552307
158,158,dollar,0.35005753859877586,0.11668584619959195,0.2954504359513521,0.0984834786504507,-0.07724249797562759,3,0.001248527242254317
159,1213,irak,0.34919922053813934,0.08729980513453484,0.5165253728628159,0.12913134321570396,-0.0536353774368763,4,0.0012454659355745261
160,196,bank,0.34860610216856003,0.17430305108428001,0.6448689252138138,0.3224344626069069,0.3224344626069069,2,0.0012433504992229326
161,79,naik,0.34847173653542995,0.11615724551180999,0.45119137316942215,0.15039712438980737,-0.0880001758535703,3,0.0012428712661401167
162,3808,didepak,0.34817056357860565,0.17408528178930283,0.2876097410917282,0.1438048705458641,0.1438048705458641,2,0.00124179709232649
163,174,lewat,0.3481662720441818,0.11605542401472728,0.26966206915676594,0.08988735638558865,-0.06196335765222708,3,0.0012417817859923922
164,7022,lifting,0.34481463953852654,0.17240731976926327,0.33217594027519226,0.16608797013759613,-0.16608797013759613,2,0.001229827738363291
165,5023,milenial,0.34432830661535263,0.17216415330767632,0.5978745222091675,0.29893726110458374,0.29893726110458374,2,0.0012280931666531134
