importance_rank,shap_sample_position,original_test_index,document_id,selection_type,actual_index,actual_label,predicted_index,predicted_label,token_id,token,signed_shap,absolute_shap,occurrence_count,direction
5,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,361,posisi,0.016412941738963127,0.07417695969343185,1,mendukung_prediksi
6,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,3587,seni,0.03986211121082306,0.06730497628450394,2,mendukung_prediksi
7,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,32,dunia,-0.005768144968897104,0.06167285144329071,2,menahan_prediksi
8,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,75,sebagai,0.019917664001695812,0.060621459037065506,2,mendukung_prediksi
9,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,4067,international,0.008119489066302776,0.04366842657327652,1,mendukung_prediksi
10,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,1050,pusat,0.020748937968164682,0.04357505962252617,2,mendukung_prediksi
11,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,52,global,0.02937031164765358,0.04099433496594429,1,mendukung_prediksi
12,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,698,tegaskan,0.022279169410467148,0.03448815271258354,1,mendukung_prediksi
13,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,3,di,-0.008995438925921917,0.03277533873915672,1,menahan_prediksi
14,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,1224,west,-0.015894293785095215,0.03273836523294449,1,menahan_prediksi
15,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,602,digelar,-0.0004695462994277477,0.029419666156172752,1,menahan_prediksi
16,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,4543,kemitraan,0.004294191487133503,0.028582599014043808,1,mendukung_prediksi
17,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,271,melalui,0.016966892406344414,0.022507596760988235,1,mendukung_prediksi
18,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,491,diri,0.008298300206661224,0.021428639069199562,1,mendukung_prediksi
19,46,344,KMP-03770,incorrect_high_confidence,1,global,2,money,371,12,0.007185725029557943,0.02127130515873432,1,mendukung_prediksi
1,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,8,iran,0.2579171732068062,0.2818424254655838,2,mendukung_prediksi
2,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,39,hormuz,0.19169044494628906,0.2112722396850586,1,mendukung_prediksi
3,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,258,ekspor,-0.07119321823120117,0.13356634974479675,1,menahan_prediksi
4,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,38,selat,0.10059785097837448,0.12297262996435165,1,mendukung_prediksi
5,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,85,minyak,-0.05325838178396225,0.10612283647060394,1,menahan_prediksi
6,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,4,dan,0.019512548577040434,0.09559558518230915,2,mendukung_prediksi
7,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,899,menekan,-0.022744672372937202,0.08177559822797775,1,menahan_prediksi
8,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,238,blokade,0.052807604894042015,0.07493759877979755,2,mendukung_prediksi
9,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,1052,pelabuhan,0.02323884889483452,0.07207861542701721,1,mendukung_prediksi
10,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,1109,meningkatkan,0.029784340411424637,0.07079832255840302,1,mendukung_prediksi
11,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,41,china,0.030650876462459564,0.05046794191002846,2,mendukung_prediksi
12,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,9,as,0.04052140936255455,0.05006562918424606,1,mendukung_prediksi
13,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,555,kereta,0.01132738497108221,0.046102168038487434,2,mendukung_prediksi
14,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,1020,api,0.01882021501660347,0.04070948250591755,2,mendukung_prediksi
15,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,305,perdagangan,0.01112691918388009,0.03909500315785408,2,mendukung_prediksi
16,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,192,lewat,0.0038833816070109606,0.028308864682912827,1,mendukung_prediksi
17,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,2676,beralih,0.02291473001241684,0.027742765843868256,1,mendukung_prediksi
18,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,3,di,0.012816183269023895,0.025219518691301346,1,mendukung_prediksi
19,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,33,tengah,0.008769075386226177,0.023040512576699257,1,mendukung_prediksi
20,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,13,dengan,0.0008868534932844341,0.020323310047388077,1,mendukung_prediksi
21,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,67,setelah,0.0040513258427381516,0.017603799700737,1,mendukung_prediksi
22,71,141,KMP-01719,incorrect_high_confidence,2,money,1,global,11,ke,0.007367575541138649,0.01719146966934204,1,mendukung_prediksi
1,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,81,united,-0.05830460041761398,0.1291569471359253,1,menahan_prediksi
2,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,21,bisa,0.003971976228058338,0.12034963816404343,2,mendukung_prediksi
3,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,819,penumpang,0.03465397283434868,0.10948477685451508,2,mendukung_prediksi
4,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,2690,airlines,0.02198806032538414,0.08208614587783813,1,mendukung_prediksi
5,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,7292,earphone,-0.023291791789233685,0.07964738085865974,2,menahan_prediksi
6,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,357,video,0.026196050457656384,0.0769251361489296,2,mendukung_prediksi
7,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,5787,memperbarui,0.02319299802184105,0.06974020600318909,1,mendukung_prediksi
8,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,6,yang,0.009343055076897144,0.06710302829742432,1,mendukung_prediksi
9,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,64,kini,-0.004716767929494381,0.061762090772390366,1,menahan_prediksi
10,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,215,pakai,0.022642366588115692,0.05970276519656181,1,mendukung_prediksi
11,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,338,aturan,-0.017204375937581062,0.055041708052158356,1,menahan_prediksi
12,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,133,tanpa,0.017382340505719185,0.05337093397974968,1,mendukung_prediksi
13,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,5040,memutar,-0.021004725247621536,0.04757855832576752,1,menahan_prediksi
14,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,3147,nonton,0.00978830736130476,0.04528079926967621,1,mendukung_prediksi
15,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,7,ini,-0.008715755306184292,0.04460907727479935,1,menahan_prediksi
16,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,110,atau,0.011994914151728153,0.04114338755607605,1,mendukung_prediksi
17,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,1106,penerbangan,0.0033464357256889343,0.04106839746236801,1,mendukung_prediksi
18,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,1575,audio,-0.010285917669534683,0.0386059433221817,1,menahan_prediksi
19,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,5669,patuh,0.007301244419068098,0.03607578203082085,1,mendukung_prediksi
20,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,4249,wajibkan,0.0016288389451801777,0.03396431356668472,1,mendukung_prediksi
21,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,14232,dikeluarkan,0.0029751614201813936,0.02923683077096939,1,mendukung_prediksi
22,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,1848,maskapai,-0.002030022908002138,0.029152952134609222,1,menahan_prediksi
23,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,28,tak,-0.0049479324370622635,0.026953820139169693,1,menahan_prediksi
24,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,14,dari,0.0037587324623018503,0.007347291335463524,1,mendukung_prediksi
25,21,523,KMP-05530,incorrect_high_confidence,3,tekno,1,global,250,pesawat,-0.0002003818517550826,0.006596812047064304,1,menahan_prediksi
